player_display_name,position,team,games_played,ppr_per_game,ppr_std_dev,target_share_pct,yards_per_carry,yards_per_reception,ppr_change_24_to_25,career_avg_ppr,career_games_played,composite_score,position_rank,tier,vorp
Drake Maye,QB,NE,17,20.70352941176471,5.388321794836115,0.20833333333333334,4.368932038834951,2.0,7.077375565610865,17.164841628959277,30,21.210245542997132,1,1,8.17528141714343
Matthew Stafford,QB,LA,17,20.610588235294117,6.979441659785757,0.0,0.034482758620689655,NaN,7.199338235294116,16.742834967320263,48,20.676557207946622,2,1,7.641593082092919
Josh Allen,QB,BUF,16,22.78875,10.404942335255877,0.0,5.169642857142857,NaN,-0.901250000000001,23.19174019607843,49,19.396892299423236,3,1,6.361928173569533
Trevor Lawrence,QB,JAX,17,19.89294117647059,8.78550778605446,0.0,4.378048780487805,NaN,5.37294117647059,16.940563725490197,43,18.869171193595427,4,2,5.834207067741724
Patrick Mahomes,QB,KC,14,20.405714285714286,7.995600438592862,0.18214936247723132,6.59375,-10.0,2.716964285714287,18.53607142857143,46,18.822123439850714,5,2,5.787159313997011
Caleb Williams,QB,CHI,17,18.716470588235296,8.227406138310295,0.37593984962406013,4.974025974025974,11.0,3.7435294117647064,16.844705882352944,34,17.371307570271618,6,2,4.336343444417915
Brock Purdy,QB,SF,9,19.70888888888889,10.294518498264557,0.0,4.454545454545454,NaN,1.918222222222223,18.658185185185186,40,17.19600000607619,7,2,4.161035880222487
Dak Prescott,QB,DAL,17,18.45764705882353,8.280775574645592,0.0,3.339622641509434,NaN,3.8926470588235293,17.729901960784314,42,17.14120850407691,8,2,4.106244378223208
Jacoby Brissett,QB,ARI,14,16.245714285714286,7.571328218285811,0.0,4.421052631578948,NaN,9.782857142857143,11.379523809523809,23,16.909172963085684,9,3,3.874208837231981
Daniel Jones,QB,IND,13,17.41846153846154,7.084911015853629,0.0,3.6444444444444444,NaN,3.888461538461538,13.480598290598289,29,16.459526695243913,10,3,3.4245625693902095
Justin Herbert,QB,LAC,16,17.93,7.740838886494582,0.0,6.0,NaN,1.141764705882352,17.57684766214178,46,15.95027774581633,11,3,2.9153136199626264
Jalen Hurts,QB,PHI,16,18.81625,7.583037979596305,0.0,4.0095238095238095,NaN,-2.191749999999999,20.271220588235295,48,15.883813606121109,12,3,2.848849480267406
Bo Nix,QB,DEN,17,17.931764705882355,8.369988228257938,0.17391304347826086,4.289156626506024,NaN,-0.7270588235294078,18.29529411764706,34,15.20265059034615,13,3,2.167686464492448
Jared Goff,QB,DET,17,17.474117647058822,7.5179776692468385,0.0,2.3684210526315788,NaN,-1.6117647058823579,17.85529411764706,51,14.735194934520063,14,3,1.70023080866636
Kyler Murray,QB,ARI,5,15.556000000000001,1.7790671713007356,0.0,5.9655172413793105,NaN,-1.92870588235294,17.111901960784312,30,14.4436680839039,15,3,1.4087039580501965
Jaxson Dart,QB,NYG,14,17.255714285714287,10.234088373429499,0.0,5.662790697674419,NaN,,17.255714285714287,14,14.185487773685438,16,4,1.1505236478317347
Justin Fields,QB,NYJ,9,15.851111111111111,10.795402313536588,0.21645021645021645,5.394366197183099,NaN,3.9371111111111112,15.157088319088318,32,13.793623750383468,17,4,0.7586596245297645
C.J. Stroud,QB,HOU,14,14.895714285714286,6.520944615722379,0.0,4.354166666666667,NaN,1.9321848739495806,15.420192343604109,46,13.519086363182446,18,4,0.4841222373287426
Jordan Love,QB,GB,15,15.675999999999998,7.409080143407045,0.0,4.23404255319149,NaN,0.08533333333333104,16.67830065359477,47,13.478875956977884,19,4,0.443911831124181
Jayden Daniels,QB,WAS,7,16.325714285714287,6.364293249955455,0.0,4.793103448275862,NaN,-4.604873949579829,18.628151260504204,24,13.034964125853703,20,4,0.0
Joe Burrow,QB,CIN,8,16.8075,8.579676567330496,0.0,2.9285714285714284,NaN,-5.123088235294116,17.818029411764705,35,12.696670559212617,21,4,-0.33829356664108623
Carson Wentz,QB,MIN,5,14.068000000000001,5.005668786485978,0.0,5.181818181818182,NaN,,14.182666666666668,8,12.566299364054208,22,4,-0.468664761799495
Michael Penix Jr.,QB,ATL,9,13.364444444444445,7.291754094713958,0.0,3.3333333333333335,NaN,4.544444444444444,11.092222222222222,14,12.54025154936359,23,4,-0.49471257649011235
Baker Mayfield,QB,TB,17,15.99529411764706,6.243110320232074,0.0,6.945454545454545,NaN,-5.522352941176472,17.878039215686275,51,12.465655139224495,24,4,-0.569308986629208
Tyler Shough,QB,NO,11,14.360000000000001,7.655215215785903,0.0,4.133333333333334,NaN,,14.360000000000001,11,12.06343543526423,25,5,-0.9715286905894729
Aaron Rodgers,QB,PIT,16,14.1925,6.2364771038356785,0.19342359767891684,2.9047619047619047,-9.0,-0.9004411764705864,9.761813725490196,34,12.051424515908122,26,5,-0.9835396099455807
Joe Flacco,QB,CIN,9,13.417777777777777,11.893773347615316,0.0,1.4666666666666666,NaN,5.7442063492063475,13.5523373015873,25,11.572907678255087,27,5,-1.4620564475986164
Bryce Young,QB,CAR,16,13.627500000000001,7.695941354592909,0.0,4.0,NaN,-0.3025000000000002,12.443750000000001,46,11.227967593622129,28,5,-1.8069965322315742
Lamar Jackson,QB,BAL,13,16.527692307692305,9.083921834617243,0.0,5.208955223880597,NaN,-8.788778280542992,20.8484709653092,46,11.165882273144234,29,5,-1.8690818527094688
Jameis Winston,QB,NYG,3,14.426666666666668,16.384643216540706,0.19880715705765406,3.2857142857142856,33.0,2.5048484848484875,9.447272727272727,20,10.262728247159004,30,5,-2.7722358786946995
Sam Darnold,QB,SEA,17,13.848235294117647,7.976384076834344,0.0,2.7142857142857144,NaN,-4.2670588235294105,11.433843137254902,44,10.175202424008521,31,5,-2.8597617018451817
J.J. McCarthy,QB,MIN,10,12.538,8.450317285298949,0.0,4.891891891891892,NaN,,12.538,10,10.002904814410316,32,5,-3.032059311443387
Malik Willis,QB,GB,4,12.794999999999998,13.520378446379867,0.0,5.590909090909091,NaN,4.1616666666666635,7.652777777777778,12,9.987386466086036,33,5,-3.0475776597676667
Mac Jones,QB,SF,11,11.82181818181818,9.285134159700458,0.0,1.6666666666666667,NaN,2.21381818181818,10.367515151515152,32,9.700423388453496,34,5,-3.334540737400207
Spencer Rattler,QB,NO,9,11.015555555555556,6.5246668710193765,0.35398230088495575,5.387096774193548,0.0,1.4041269841269841,10.313492063492063,16,9.479393589487838,35,5,-3.555570536365865
Cam Ward,QB,TEN,17,10.98,5.398444220328668,0.0,4.076923076923077,NaN,,10.98,17,9.3604667339014,36,5,-3.6744973919523023
Marcus Mariota,QB,WAS,10,12.55,8.219960800122806,0.0,5.94,NaN,-2.703333333333335,11.22777777777778,15,9.27301175996316,37,5,-3.7619523658905436
Philip Rivers,QB,IND,3,10.553333333333333,5.6734586746827835,0.0,-0.5,NaN,,10.553333333333333,3,8.851295730928499,38,5,-4.1836683949252045
Davis Mills,QB,HOU,6,11.433333333333332,10.069618993123159,0.0,4.615384615384615,NaN,,5.797444444444444,15,8.412447635396385,39,5,-4.622516490457318
Geno Smith,QB,LV,15,11.593333333333334,7.288765000882883,0.0,2.658536585365854,NaN,-4.0537254901960775,14.13035294117647,47,8.190586186009646,40,5,-4.8443779398440565
Tua Tagovailoa,QB,MIA,14,11.47857142857143,7.29722587662637,0.0,2.15,NaN,-5.028701298701298,14.629791189202955,42,7.78079327597313,41,5,-5.254170849880573
Shedeur Sanders,QB,CLE,8,10.6125,9.922268965744246,0.0,8.047619047619047,NaN,,10.6125,8,7.635819310276727,42,5,-5.399144815576976
Jake Browning,QB,CIN,5,9.748000000000001,8.219082673875473,0.0,4.333333333333333,NaN,,8.565629629629631,16,7.282275197837359,43,5,-5.752688928016344
Kirk Cousins,QB,ATL,10,10.354000000000001,8.028665587201345,0.0,0.5,NaN,-2.2402857142857133,13.88859523809524,32,7.273314609553884,44,5,-5.761649516299819
Tyrod Taylor,QB,NYJ,6,9.91,8.744980274420293,0.0,5.296296296296297,NaN,-0.11999999999999922,9.558,18,7.250505917673912,45,5,-5.784458208179791
Joe Flacco,QB,CLE,4,6.4750000000000005,4.933055172338268,0.0,2.1666666666666665,NaN,5.7442063492063475,13.5523373015873,25,6.718345353060425,46,5,-6.316618772793278
Quinn Ewers,QB,MIA,4,8.295,5.660067726332139,0.22172949002217296,2.375,-6.0,,8.295,4,6.596979682100359,47,5,-6.437984443753344
Josh Johnson,QB,WAS,3,8.126666666666667,8.039411255392608,0.0,4.583333333333333,NaN,,4.160833333333334,7,5.714843290048885,48,5,-7.320120835804818
Dillon Gabriel,QB,CLE,10,7.008,7.054569519900638,0.0,6.142857142857143,NaN,,7.008,10,4.8916291440298085,49,5,-8.143334981823894
Aidan O'Connell,QB,LV,1,4.78,,0.0,7.0,NaN,,8.868282828282828,21,4.78,50,5,-8.254964125853704
Brady Cook,QB,NYJ,5,5.692,3.0984060418221495,0.0,3.769230769230769,NaN,,5.692,5,4.762478187453356,51,5,-8.272485938400347
Tyler Huntley,QB,BAL,5,8.028,7.308496425394215,0.0,6.291666666666667,NaN,-4.103999999999999,8.427999999999999,15,4.604251072381737,52,5,-8.430713053471965
Shane Buechele,QB,KC,1,3.92,,0.0,4.0,NaN,,3.92,1,3.92,53,5,-9.114964125853703
Mitchell Trubisky,QB,BUF,4,7.779999999999999,14.055613350781483,0.0,0.6666666666666666,NaN,,6.4745,17,3.5633159947655546,54,5,-9.471648131088148
Riley Leonard,QB,IND,5,6.2,10.352052936495255,0.0,4.5,-inf,,6.2,5,3.0943841190514236,55,5,-9.940580006802278
